,overall,reviewerID,asin,reviewText,summary,vote,newReviewTime
532,4,A1HBTW5M7ZZ9PT,B006KWAKDE,"I heard of this book around the time it came out, but I remember it mostly for the drama the author and her agent caused. You see, there was a book reviewer who made comments about this book that the author and the agent didn't like. How did they plan to solve this so-called problem reviewer? Well, they talked (on Twitter & in plain view {get it?}) about ""liking"" the positive reviews, so the negative one could be buried. Well, the reviewer's very well known in YA blogging circles, honestly royalty when it comes to YA blogging ( I love her), so burying her review was impossible. What did the agent decide to do? She decided to call the reviewer a ""b****"". On Twitter. In plain view (love).

Now, this isn't the worst thing in the world, but it definitely made me question the morals of the author and the agent; and, thus, this book. But I suddenly decided I wanted to give it a try.

& I'm really glad I did.

This book was a very fun read for me. I mean, it's nothing like Amy Tintera's Ruined, a book filled with kingdoms and authentic intrigue, but it is interesting enough that I was pulled in from the first page. I would say this book's the perfect combination of literary and commercial; it has enough plot threads to have a deeper meaning, but the writing is so simple that it would fit for any story.

I really enjoyed America, though I felt she should have more self-esteem. Maxon was a stud in the beginning, but by the end he seemed like the guy who was amazing...but was a douche when it counted. Aspen was paper thin to me, but I loved May and America's mom. America's an insane name, like why would the author make the ending of this series so obvious(?), but...yeah, I hate her name.

Overall, I really enjoyed this book!",A surprisingly good read!,6,11/6/2016
533,2,A2WZKNCKUXSYJS,B006KWAKDE,"I am writing this as a warning: if you are expecting a complete story, you are wasting your time and money. This is not a complete novel - it is literally just the beginning! To summarize: by the end of this ""novel"", the Selection is not finished, America is still in a love triangle between Maxon and Aspen, and the mysterious rebels have not been quelled. Not one plot point is resolved. This book is merely the starting point of a swindle to get more money out of you to finish the story, which in this case is three more novels! I like books that come in a series, but each one should be able to function as it's own individual story. Unfortunately, this one cannot. I see the next in the series is $8.99 - forget it! Fool me once.....",Not a stand alone story!,4,10/15/2016
534,2,A2DWN2MQYWKGNX,B006L4S3OY,I Was disappoint in the fact that once I downloaded the app I was immediately asked for a subscription even though it was advertised as free.,New York Post,6,5/4/2016
535,5,A2GEC7BHL150H9,B006LLOAJO,"Beyond the entertaining story, Herring is a great writer.  It was refreshing to read a Kindle book without typographical or grammatical errors, and to just relax and let the narrative draw you along into a good story.  Once you accept the determination that drives Sarah, the rest of the story is plausible and follows naturally.  I thoroughly enjoyed the book and will read more from this author.",Great writing,2,9/4/2016
536,4,A1Z7XTVAWQ51W9,B006LS0PTQ,"Where to start?

The good: The plot of a wounded hero and a strong woman separated by miscommunication is not uncommon. The exact cause of the miscommunication, which is cleared up fairly early, is perfect, believable, and unique. I also like some of the other characters. Bedford and Meg are realistically flawed.

Not necessarily good:

I don't think the Bedford subplot added to the story. Its outcome was predictable.

The identity of the murderer also was predictable.

I was frustrated when Sophie and Keene arrived at the dinner party. It had been some time since I'd read the book about them, and I finally had to stop reading this book and go back to The Wedding Duel to know what they were talking about in regard to Algany. I didn't remember the other friends either, but I didn't spend time trying to figure them out. In other words, this section of the book keeps it from standing alone and will confuse anyone who hasn't read the previous one.

The bad: It needs a proofreader. It's full of missing words, words out of order, and wrong words. In one place, Captain Lungren is called Captain Unground!",Hot mess,2,7/8/2017
537,4,A3S2ME44B0RJ1B,B006LS0PTQ,"Interesting story of love and betrayal, anguish and acceptance, forgiveness and restoration. Felicity and Tony finally come to an understanding of what really happened to them, but it takes the entire book for that to happen. There were also intriguing side plots of murder and mayhem.

Romance, murder, mystery ... what's not to like?",Entertaining story,2,7/7/2017
538,5,A3Q5TVWXW1KMMH,B006LS0PTQ,another entertaining read. i will keep this in my library and reread it many times.. keep up the good work.,only my opinion,2,2/9/2017
539,3,APS0FHJNV2U98,B006M6XV1Q,"In this second book of the series, the King of the Fey, Cerdewellyn is introduced. He wants revenge on Lucas for killing his people and to restore what's left of his people back to Earth, along with him is the remnants of werewolves, witches, and Empaths that still survive. Lucas is looking for them for his own reasons and needs Valerie to act as a go between. Meanwhile Valerie is still the whinny, indecisive, immature character she was in the first book. Can't make up her mind who she wants, Lucas or Jack and has sex with both, but has the audacity to get jealous with the thought of Jack being with someone else besides her. She is used by everyone, but doesn't have the strength, intelligence or backbone to stand up for herself and again I really didn't think much of her. This book ends in a cliff hanger so I was interested enough to read the third book.",More of the Same,3,4/3/2017
540,5,A2KMR6X8Q6RHJA,B006MMYSR6,"I have not read a lot of historical romance but I have to say, I really enjoy reading this novel. It was a bit longer that I had expected but worth reading it. I'm really looking forward to read more from this author.",I really enjoy reading this novel,4,3/25/2017
541,5,A1B356SPUO82VV,B006MMYSR6,"Well written, except for several typos, and a good story.  I could feel Lexie and Nicholas' emotions as deeply as they did.

I received a free copy of the book.",Couldn't put it down,5,3/7/2017
542,1,A2993ELUH5DQQP,B006MMYSR6,"The book started out okay, but it soon dragged down.  The H and h were on again than off again.  At 70% the story became totally ridiculous.  Definitely not worth your time.",The Marker,6,9/23/2016
543,4,A1ZV5XBKG7RVZU,B006MMYSR6,"Lexie's mom died and her dad turned to drinking and gambling. He has mistreated her and in this game with Nick, he has gambled her away. Nick wins and comes to collect Lexie whose father had not said one word about the arrangement. In the long run at least now she'll have food to eat and be able to be with other people as she becomes a servant for him. Time progresses and Nick would love to have her but she fights tha chemistry because another arrangement her dad made was to betrothed her to another for debts and living expenses.
There are tons of emotions- love covered with a lot of lacking self-worth on both sides, as well as the different worlds they come from. Additionally there is dealing with blackmail on the part of her supposed fianc.
Time passes and walls fall but can these two get their HEA?
This was a good book- hard to put down!  Good author, good dealing with truth, love, respect and self esteem.",Romance shrouded by blackmail and emotions,6,9/5/2016
544,3,A37VMDBLZVHLRN,B006MMYSR6,"A love story brought forth from a life of selflessness after a loss. I loved this story. Time and again we read story's of a damsel in distress that's saved from the torment of her life by the dashing rich prince who makes everything better. Each story is a slight bit different, but the sentiment is the same.  We build these stories because we have an innate need to want to be saved from our mistakes, to have someone strong to support us and a partner to share our lives. A dream of rising from the bottom to the top and getting what we have always dreamed. Reading others dreams always allows escape and interest, and I was no exception. I loved this story and lexis personality shined through the writing and allowed me to enter this dream and live it. I'd love to read more by this author.",Love knows only what it wants,3,8/29/2016
545,4,A2HHKA7X5A68KE,B006MMYSR6,"A good editor could have cut this book by a 1/4 & improved the pace.  I enjoyed the almost criminal way the h's father justified his actions while the h held her head up & made the best of a horrid situation.  Get a grip folks, this a FICTIONAL story so they'lll wind up together after a bit of mess.  The way the servants & other players enjoyed the h's company & feisty attitude also made for great reading.

Liked the heat, which most regency books lack, it made both the H & h human & helped keep my interest.  I can't find any other books from this story, what about Connor & Claire's beginning?  What happens to James?  Lots more to tell, hope the author hasn't given up.",REGENCY W/SOME HEAT,9,8/22/2016
546,4,A2S7C0QP7WZBZ8,B006MMYSR6,Enjoyed the characters and their conflicts. Felt there was too much dallying in between that became repetitive and didn't move the story along. I felt the story could have been expanded on rather than fill in with romantic interludes.,"Good start, good ending",4,7/31/2016
547,5,A11P853U6FIKAM,B006MMYSR6,This romance was different and held my attention from beginning to end. I liked the good characters and enjoyed not liking the villains.,A Very Clever Story,2,6/10/2016
548,1,A2VNG16IOTY7N,B006MMYSR6,"The chapters seem to end and begin randomly. The H and h are not what you would expect. The h is a weak, stupid female who acts like a child! The H acts like a stubborn toddler, who had been told no more cookies. 80% of the story is useless drama that the h causes upon herself. The only good thing is that she tells off her drunk gambler of a father.",*shaking my head*,9,5/12/2016
549,5,A1FY8XERGKDED8,B006MMYSR6,"This book was a great read. Used as a gambling marker & lost, she has to be in his service for one year (though she is allowed to be a servant only ). Because her father would have used her again & they were starving; his heart urged gim to take her home & protect her. So much more in the story; it's a must read!",This is a well written book that you must read!,3,5/4/2016
550,5,A2DGO8LNU41DJZ,B006MMYSR6,This story is filled with sweet poignant humor. The characters are deeply developed and the story line is full of twists & turns. Great read!,Sweet love story,2,5/4/2016
551,4,A15RYVJWEO0W4V,B006MMYSR6,"The young heroine is given as the ""marker"" in a card game by her drunken, worthless father, who of course, loses. The wealthy gambler who ""wins"" her is a troubled young man. Together, they learn to face their fears and troubles and grow to love each other. This explanation sounds rather simple but the twists and turns of the plot as well as the characters' growth make it an enjoyable read.",An enjoyable read,3,4/9/2016
552,5,A12DU9BDICPAR2,B006MZ4468,Good plot even though the culprit was fairly obvious.  Likable characters and interesting developments  throughout the story.  A must read!,Suspenseful,2,11/19/2017
553,5,A3K6NLN4KE6SB1,B006MZ4468,"I really enjoyed this book.  The author has a creative imagination back up by some good research,  fab story-telling ability,  and an enviable ability to translate the story in her mind to the page without the work sounding stilted or forced.  The imagery flows smoothly,  the dialogue and characters are believable, and the author has the God given talent for immersing the reader into the story. I cannot wait to read the next in this series.  Oh, and BTW, the series (so far at least) is not a ' cliffhanger', instead it could be viewed as a stand-alone with a common lead character in subsequent novels. To me,  that makes reading them even more desirable.",Maximum Thrills!,3,11/17/2017
554,5,A2ILQKH2NHVQEL,B006MZ4468,This story is a great introduction to some interesting characters of a series. I enjoyed meeting them all and look forward to getting better acquainted with each one of them.,Multiple Motives,2,9/10/2017
555,5,A1LHY54DKVHE62,B006MZ4468,"Not only multiple motives, but multiple suspects.
Who had been clients of both Kate and Rob?
What had they done to make them the object of the perpetrators focus?
Why was the perp harming those close to them?
Well written, well documented.
Don't second guess yourself.  On second thought...do just that!","Who, What, Why?",2,8/22/2017
556,5,A23G0QIXI2OAKC,B006MZ4468,"This book was a gripping read, with an interesting storyline and feature-rich characters. I did liked the handling of the agressive and  incompetent cop, but in real life with so many lawyers involved I reckon he would have been reined in earlier!

The writing style was impeccable and a good editing job had been done.

Definitely will read more from this author.",Excellent book,3,8/22/2017
557,1,A24KZ1XFOYOUJV,B006MZ4468,Plot line was good. Characters were completely unbelievable. Most scenarios were not any where near realistic. Relationships between characters was went way beyond what I would consider normal.,Not Believable,2,8/12/2017
558,5,A31INEEFCUG0F4,B006MZ4468,"On all fronts ! The MPD information was clear,accurate and not disparaging for those with the diagnosis. Amazing characters that you really feel like you know.
The twists and turns kept me engaged to the end,sad to see the book end",Great read,2,7/28/2017
559,5,A1B62QONCDJKL2,B006MZ4468,I really like this book. it has so many aspects to it. There is enough excitement & mystery to satisfy most of the readers. There is a sad part which I won't spoil .,Amazing story,2,7/28/2017
560,5,A4ZHL5F778BD9,B006MZ4468,"Loved the characters. Kept me guessing between their main suspects and my own favorite. Right about the time they convinced me it really was who they thought, it turned out to be the one suspected from the first attack.",Excellent,2,7/27/2017
561,4,A1E29AF1LT9N6S,B006MZ4468,"The book is well written and packed with suspense. My only negative is my personal taste, not anything the author did wrong. With the opening scene and the danger level throughout, it reminded me more of a thriller. It was more intense danger and how to stay alive than the puzzle to contemplate that I love in a mystery. So while it is VERY well done, it just didn't quite hit the mark for me right now. It might have n a different day.",Unfortunately felt more like thriller,2,6/5/2017
562,3,A3N0HRKES29895,B006MZ4468,The story kind of dragged on.  The main character was always very therapeutic and pedantic in her approach.  Seemed more self indulgent than genuine and realistic.,Good-somewhat farfetched and indulgent,2,4/5/2017
563,4,A2KMV056844YV2,B006MZ4468,"Kate Huntington is a psychotherapist who helps other people cope with the bad things in their lives, but Kate is living the dream. She has a wondrful husband a great job and great friends like Rob and Liz. Suddenly Liz is injured by a hit and run,Kate's husband is attacked, Rob is kidnapped, and Kate is attacked. The lead detective is convinced that Kate and Rob are trying to get rid of their spouses. It takes all Kate can do with the help of Rob to try to find out what is going on.",Good mystery,4,3/20/2017
564,5,A26OOYOE8Q5720,B006MZ4468,"Great mystery story ... couldn't put it down.

Two old friends, Kate Huntington and Rob Franklin, and their families are targeted by an unknown person.  They are being attacked using multiple methods while they try to convince the police detective that the attacks are real.  Kate, Rob, their family, and friends race to figure out who the guilty person is before it's too late.

These are strong characters who will have you rooting for them to find the perpetrator and find peace in their lives again.

I had to keep reading to find out who was causing these good people so much pain.",Thrilling Heartbreaking Mystery,4,2/17/2017
565,5,A2YXJF6RQY87Y9,B006MZ4468,"How do you deal with your husband being killed, your sister being attacked and your best friend being kidnapped. Well, you gather your family and friends and start your own investigation. This was a non-stop thriller with action on every page. I hated to put it down. Enjoy!",An edge of your seat thriller,2,1/31/2017
566,5,A32CKGQ2YCBYD9,B006MZ4468,"I had to stay up and finish this book, there was no way I would have been able to sleep without knowing the ending! I like Kate and am glad I have the next book in the series. The friendship between the main characters is inspiring.",Kept me up!,3,1/9/2017
567,5,A38IXDXYZYF9NT,B006MZ4468,"Kassandera Lamb delivers a heart wrenching mystery thriller featuring protagonist  Kate Huntington, a psychotherapist who finds herself in the middle of turmoil affecting everyone and everything she cherishes. Fast moving unfolding events put Kate in the cross hairs of a murderer. At the same time, a narrow minded homicide detective is investigating her for murdering her husband.

Lamb introduces support characters to her readers giving them each characters backstory and their role in the storyline as her story proceeds.

The author places her readers in the middle of a story of manipulation and danger, as they follow Kate and her war council members as they search for the murderer. Lamb skillfully illustrates the value of trust,  family  and friendships.  MULTIPLE MOTIVES keeps readers' involement in Lamb's spellbinding story.",Mystery Thriller with Well-developed Characters and Storyline.,5,10/11/2016
568,4,A2UNMDJYXPEQZ3,B006MZH7XU,"This is a different kind of love story.  It is one that will make you think.  The hero is a wealthy businessman in new Zealand.  his young wife has died of breast cancer and has left him with a 2 year old daughter.  His sister-in-law has taken leave from her job to stay with him and help him get back on his feet.  He clearly wants her gone.  Or so it seems.  Lots of times things are not as they appear.  He loved his wife and was faithful to her completely but she is gone and he is hurting.  He has always had feelings for the other woman that looks so like his wife.  he has never acted on his feelings.  He made sure that he was out of town when she visited and he worked hard at keeping those feelings he experienced pressed down.  But now she is in his house, in his thoughts and within easy reach.

Most of the story is about the two of them going through serious bouts of guilt, despair, lust, etc.  They know that even though they never betrayed her sister there is no way the two of them can be together.  Society would never accept it and would think badly of both of them.  Until his wife takes control of the situation.  It was a good story.  Lots of sex so if that is a problem for you, better pass on this one.  it was a thought provoking story and I would definitely advise reading it with an open mind and heart.  A good read.

Just a personal note --  I have a young neighbor that has a story much like this one.  His young wife discovered a lump in her breast right after giving birth. The doctor assured her it was a swollen milk gland and to not worry about it.  About 4-6 months later the area became so painful that she couldn't stand to be touched.  After tests, etc. it was discovered that it was cancer, aggressive, and not much they could do.  I have learned that this age group for women has the highest rate of deaths from breast cancer.  I wonder if a lot don't detect it because it is assumed it is a swollen milk gland.  Anyway, she went through every treatment possible.  Chemo, etc.  Even some experimental drugs were tried.  Nothing worked and she just got sicker and sicker.  Less than 3 years later she had passed.  He said that he loved her and that if the cancer had not been there they would still be married today but that with her so sick she really left him long before she passed.  She did stay at home until the very end.  Her family helped him with her care and he had everything else.  He took care of the baby, worked fulltime, prepared all the meals and did the housework.  I really don't know how he did what he did at such a young age himself.  So this story I just read could have been his in a way.  We just don't know what a surviving spouse goes through emotionally, physically, etc. so it is very unfair for the rest of use to pass judgment on them for what they do or don't do.  I really think the hero in our story loved his wife.  I think he probably lusted after the sister!!  But then I think he did love her at the end.  My friend did eventually marry again.  And, he seems to be happy.

I was not paid for my review.  I am not an author nor do I know one.  I am a reader and this is just my opinion, nothing more, nothing less.",very thought provoking...,4,2/17/2016
569,3,ADSSH4NZH8BJM,B006MZH7XU,"This is a well written story with great characters. I was impressed with how the author handled this topic and it felt very authentic. There were times in the story that it felt repetitive and I found it dragging a bit. I was looking forward to how these two would be able to find their way to be together without feeling badly and I was rooting for them.

**SPOILER** do not read further if you don't want to know the ending...

However, the ""letter"" left by Jan totally ruined the story for me. I found it hard to swallow that Jan 'knew' her husband was in love with her sister while she was married to him? What? And he frames the letter so everyone can read it? No. What a bummer of an ending! I would have been totally ok with a letter giving him 'permission' to move on, etc but this just ruined their happy ending for me. Obviously, others didn't have an issue with it and as I shared earlier, it is a good, well written story.",Really enjoyed it until the ending...,8,2/13/2016
570,4,AYX7NDW98SKFC,B006P5CH1O,"I read the short story in one day. I bought this book 2 years ago, I have been feeling a small tug in my heart to read this one for a day or two. It pulled me in and I just wanted to find out more. Near the end before the revelation I gasped aloud. The book definitely makes you realize the Lord could be speaking to us in ways we are unaware. This one was pretty awesome!
I will definitely be recommending to friends and family.",Worth it!,2,7/27/2016
571,1,A33CJ7F11Q5LD5,B006PJ3UKC,"Used app for years, but recently deleted because 90% or more of ""news"" stories are sports related

Since no useful news is provided here I reluctantly switched to CNN app.",No Useful Newd,24,12/29/2016
572,2,A32EU0MHSVUSP4,B006PJ3UKC,"I have enjoyed this news app until about a week ago. Now instead of the news around our nation being the Top Stories, sports are the Top Stories. There is a Sport section a person can go to for that kind of news!",Disappointed,34,12/18/2016
573,1,A29VPSPB4OAIPH,B006PJ3UKC,Irritatingly biased and ad laden.,One Star,2,6/25/2016
574,1,AJSX6A5ZXQ358,B006PJJ50Q,"I did not appreciate the bad  language that was written, so I never read much of it, nor will I Ever buy another one book from this Author.",Bad Language!,3,12/11/2016
575,4,A370AYNJGRZ6K9,B006PJJ50Q,"Great story of true love.  It's always hard to let someone go but when you realize you aren't in love with then as Amy was towards Justin, it's the right thing to do.  Sam was and is the one she has always loved no matter what.  Amy and Sam are great together.  You can really tell from the wording of the book that they have strong feelings for each other and will be happy together.",Great story,2,10/27/2016
576,3,AD0FXO3JGL7GU,B006PTN0AM,"While it is an interesting story, I found that the story line moved very slowly and the total number of pages could have easily been reduced by 30% and achieved the same result.",Slow moving novel,2,1/12/2016
577,5,A3255J4ICCP2YG,B006PWHCN0,"I enjoyed reading this book,  I was a paramedic for 19 years and a policeman for 17 years. There is nothing exaggerated  in this book. I just wish it was longer",Very funny short read,2,8/10/2016
578,5,AGWWP06T111P6,B006PYDFTI,"I really enjoyed it.  The H&h have good chemistry and the mystery bit isn't that hard to figure out but lends a nice aspect to it.  As some other reviewers have noted, a bit contrived, but my standards for historical romance are this:
1) Do I want to keep reading (Answer was yes);
2) Do the characters annoy me? (No -- when they do, a fatal flag in escapist writing genres for me);
3) Does there seem to be good sexual and mental chemistry between the main characters?  (Yes!  The author really conveys a very strong passionately sexual tension and this can be graphic, so be forewarned)
4) Does the heroine have some backbone and intellect? (this isn't a requirement to enjoy a hist romance, but it puts it over the top -- and this was the case here)
5) Does the author wrap up the end of the book smoothly or as if they just remembered they're late for an appointment?  (Done nicely)

I will see out more works by this author.",Engaging,3,2/4/2017
579,5,A3E41W41NBYG1I,B006PYDFTI,"I don't quite understand why all the poor reviews!  This book had me entranced from page one.  Such an awesome book! Betrayal, spies, sex, love, scandal....this book has it.  What more do you want.  This has got to be one of the best Regent novels I've ever read.  The h has such a vibrant way you can't help but love 'em.
This is my first book by this author buy definitely not my last.  This book is very well written and flows so nicely!  It makes you want to read the next one in the series and continue until you have read every single one of her books!",One of the best time piece books,3,11/9/2016
580,5,A3H1TO48SUIM54,B006PYDFTI,"Educating Elizabeth by Kate Pearce is a fabulous read.  Ms Pearce has given us a well written book.  It's packed with action, drama, sizzle and humor.  Best of all were the characters, they are amazing.  Gervase and Elizabeth's story kept me glued to the kindle from start to finish.  I enjoyed reading Educating Elizabeth and look forward to reading more from Kate Pearce in the future.  Educating Elizabeth is book 1 of the Diable Delamere Series but can be read as a standalone.  This is a complete book, not a cliff-hanger.",Wow!  Loved it!!,2,11/8/2016
581,3,A3FU3N6TXJBSRM,B006PYDFTI,"Elizabeth is sent to the Gervase, Duke of Diable Delamare, by her stepfather, she thinks to perform chores for him and he thinks for a night in his bed. She ends up in his household working at decoding cryptic notes detailing an assassination attempt as well as to receive lessons in becoming a courtesan so that she can earn money to support her invalid brother.
While I enjoy Ms. Pearce's work, this one was kind of a mess. You had the dark 'alpha' Duke, the plain bluestocking virgin, a spy caper, the evil gambling stepfather, the first wife who betrayed the Duke, and several other tropes one can find in a Regency romance. Don't get me wrong, I don't mind tropes, but this book seemed to throw them all in without following through to a logical conclusion or giving good backstory to explain whatever was going on. There wasn't much real connection between the hero and heroine, at least in my opinion. He didn't always seem that interested in even forwarding her 'education' at times. I did like Gervase, I just wish he had been developed more. Elizabeth was more of a puzzle.  Sometimes she's very docile and others a bit of a shrew. I did like some of the secondary characters, but I wish this had been a more concise story.",A bit of a mess,2,11/1/2016
582,5,A37FGSJPI6OYYU,B006PYDFTI,"This is Book 1 in the Diable Delamere Series. The characters and story lines are well written and really pull you into the novel.  I have also purchased the other novels in this series: Redeeming Jack, Loving Michael and Awakening Amelia.  I highly recommend this excellent series.",EXCELLENT SERIES .....,3,10/27/2016
583,4,A2S5EPJ451WL3I,B006PYDFTI,"Educating Elizabeth is a very good historical romance novel where the conventions of the day helps to add to the seductive atmosphere instead of hindering it. It features Elizabeth Waterstone, stepdaughter to the Forrester household, and often sent to do ""favors"" by her stepfather. When a gambling debt sent her into the household of of Duke of Diable Delamere, the most famous rake in the Kingdom (or perhaps, the continent) she was determined to exploit his skills, to teach her the skills to be a courtesan... So that she can support her invalid brother all but disowned by their family. The Duke, tempted by this strong young women who can think, asked for her help in thwarting an assassination plot against the prince regent by decoding some messages in addition to teaching her about the bedroom skills. As the two are ever drawn closer to each other, they are endangered by the plot that was closer than they ever suspect...

The intricate levels of conspiracy around them were introduced rather late, but the level of subterfuge as each character cannot afford to reveal all s/he knew made for some tense moments near the end of the book. I rather enjoy the book, though it sure seems slow at times.",Regency Romance With some Spy Derring-do and a Remarkably strong Heroine,2,10/25/2016
584,4,AOXH3XC2FB06,B006PYDFTI,"Spies, sex, love and betrayal are what you will find in Kate Pearce's story Educating Elizabeth. I enjoyed the quick read and the happy ending. Not as spicy as her other series, this is more of a sweet romance.
Please note: This is not meant to be historically accurate or a true story. Its a fictional story set in the past with artistic licence.",Educating Elizabeth,3,10/10/2016
585,5,A1HOD6OFWMO0A2,B006PYDFTI,"There is the rake, the duke, the brilliant mind of a woman,do tell.  The love story that is pale in comparison to everything else that is going on. Very well written, lots of twist and turns. A real good read. Keeps your attention from start to finish.",Intrigue till the last written word.,5,10/10/2016
586,5,A3KMXR5Q59B1FO,B006PYDFTI,"Set in a stage of Dukes and Lords, the story draws you in and doesn't let go.  Spies, love, sex, betrayal, understanding and a happy ending. It's all there waiting for you.  Once you start to read, you will not be able to put it down.

I received a free copy of this book from the author in exchange for an honest review.",Beautifully written,3,10/10/2016
587,4,AR9KSG4F6Q1GX,B006PYDFTI,"Well written, well thought out read. Good mystery with a little romance thrown in. Good cozy read. Recommend for a good rainy day.",Delamere,4,10/9/2016
588,5,A20ZFMJFQJNHN7,B006PYDFTI,Excellent read.!!!!!  If you love Regency romance stories this one is for you.  I am off to buy the next one.,Well done.,4,10/5/2016
589,5,A1XEMWPMD84O4B,B006PYDFTI,A most engaging story. I could not put it down. The characters were well fleshed out and the plots and sub plots took you on an adventure full of unexpected twists and turns!,Superlative!,3,10/2/2016
590,5,A315CSZHR71MNT,B006PYDFTI,"I think this may be THE best regency romance I have ever read!  I was on the edge of my chair from the almost the second page.  I read some of the poor reviews and I feel as if they could not have possibly have read the same book I did.  This book was full of seduction and that was HOT!  The h was smart, brave, and mouthy - just the way I like them.  The book had spies, traitors, etc.  This was definitely a ""page turner"" and I am tempted to sit right dwn an reread it now.",I think this may be THE best regency romance I have ever read,22,9/30/2016
591,5,A39KYD02ALEBSW,B006PYDFTI,I really enjoyed this book the story kept you curios all the way it was a joy to read a must read,A very good book,2,9/23/2016
592,4,A369BMHORFPL0O,B006PYDFTI,A love story with a little bit of betrayal and lies all around. It was well told and held my interest. It had a lot of scandalous behavior that the ton would gossip about for weeks! The next story sneak peak has me wondering...,A love story with a little bit of betrayal and lies ...,12,9/23/2016
593,1,A1LTSSK9SK026S,B006PYDFTI,"I picked this up because I'd enjoyed the Kate Pearce novella ""Jilted in January.""  But this one was terrible.  Flat, cardboard characters.  Tedious hero.  It was a mediocre pastiche of the jaded Regency hero and the bright young (but poor) ingenue.  Bo-ring.  I barely finished it.",Flat characterizations,11,8/23/2016
594,5,AZX7UW625XSDY,B006PYDFTI,Loved it. Another lovely Kate Pearce book.,Terrific read,2,2/17/2016
595,5,A1DJW1R7070SZG,B006PYDFTI,This story captured my attention from the very first page.  Would Elizabeth be able to win her Duke? Gervase had been hurt by his first wife and his heart was hardened to love so Elizabeth truly had a difficult time getting past his defenses and what fun it was to watch Gervase come tumbling down.  The love story between Elizabeth and Gervase certainly held my interest as well as the intrigue of deciphering a code and revealing a plot against the Prince Regent.  Elizabeth was a wonderful heroine and Gervase a man deserving of finding true love. Highly enjoyable romance and one I definitely  recommend.,Captured my attention from the very first page,12,1/16/2016
596,4,A33CJ7F11Q5LD5,B006Q68W7U,"I really enjoyed the villains in this story, as they were thoroughly despicable.  When I find myself hating characters I know they are well written.  The other characters are also well written, but surprisingly, I found myself rooting for Robert and Lorna even more than for
Thomas.",Great Villans,2,10/27/2016
597,5,A2XO8CGAXFO81N,B006QHSMCY,"Fun, fast read. There was plenty of details that had me wishing this was part of a novel. I hope to find the book this story belongs to.",Great short story,2,8/3/2016
598,5,A2M1PNKPRUCQYL,B006R7FXFW,"This is a well written, wonderful, & enjoyable book.  Too those who disagree with this or that... - This IS Fiction.  So enjoy it or not.
I was also blessed in reading how people should put their trust in God & not just themselves.  We can do all things with Christ - because alone we are just drifting.  But I did not feel like there was 'preaching' going on - not at all.
Wendy had had a tough life and being cut down and humiliated from the time she was born.  Sheriff Rodd has a past that is brought up by the same hateful old woman that has hurt a lot of people in this small town.  There are a string of robberies, taking only cash yet destroying what they can.  A lot is going on.  But there remains love &  joy among all the misunderstandings.
Well Worth Reading.",Wonderful Mystery,2,4/26/2018
599,5,A17T8N0CSJO9BC,B006R7FXFW,"If you are like me, reading clean fiction is important. This is a delightful story of intrigue as to who is behind the break-ins at various homes in the dead of winter. Rodd who is the new sheriff in this email town has his hands full trying to catch the thief. Wendy is also overwhelmed being the nurse who has her hands full taking care of so many senior citizens.
A very compelling story.",A wonderful clean romance mystery.,2,1/13/2018
600,2,AFR06VUD43Q1S,B006R7FXFW,"As is the case with every inspirational I've read, the story is sacrificed to preachiness.  Not only is this an infantile view of God as the Great Santa Claus who gives stuff to good people, the book ends with an unnecessary epilogue that serves no function whatsoever but to be a cliffhanger.  Cote insults her readers because it was clear when she told us that the license was from a stolen vehicle that there would be another book in the series.",insults the reader,5,1/1/2018
601,4,A20J3J8LXR8ZCW,B006R7FXFW,"The story started out well, building interest and intrigue for the reader.  Each character was believable and so were their thoughts and emotions.  I rated it 4 stars instead of 5 because it became rather wordy near the end, which seemed like unnecessary filler to lengthen the story.  Otherwise, it was a clean, entertaining book.","Nice, clean romance",2,12/19/2017
602,3,A1B5ZORUTEBQR1,B006R7FXFW,"So I'm not sure how I picked this up. (those darn book events get me every time!) And I say that because I am NOT the target audience for this book, so I want to open up with that. I realized shortly into it that it was contemporary which I almost never read. I kept going though.

The mystery was intriguing, and the characters had a lot of depth to them. I was trying to solve the mystery and piece together all the small town relationships. I connected with the main characters and liked that they had a colorful history with good and bad points. They had flaws and strong attributes.

The setting and atmosphere was nicely described. And sheesh, do I understand lake effect! I remember the November we had a unbelievable amount of snow.

Full disclosure, I did hit about 40% and feel like my interest had piqued. At that point I was ready for the story to be wrapping up, and clearly I wasn't close. At 50% I skimmed until 80% and picked up there. I still wanted to know how it all played out and whodunit. I just think that as someone who doesn't read this genre, I could've had this cut in half and been happier. I think people who do like clean, contemporary mystery/romances should give this a shot. I'm betting they wouldn't mind the length as much as I did.",I connected with the main characters and liked that they had a colorful history with good and ...,4,12/18/2017
603,5,A2METIH1D1W3AR,B006R7FXFW,"Wonderful.
Thank you Lyn cote for creating a wonderful image in the characters through out this book.  Thank you for creating a Suspenseful thriller and still putting God and morals written throughout the narrative.  In this present moment in time with so much sexuality and vulgar language, it is refreshing to find an author who will go against the norm in her writing.

Thank goodness I found this book.  You are one of my favorite author.  BRAVO and God's blessings on you.","Winter's Secret is thrilling,Suspenceful, and honest.",2,12/13/2017
604,1,A2MLVIXDBOCGBI,B006R7FXFW,Cant get past all the praying and god stuff in it. Wish I had realized this was a religious book before I bought it.,Wont be finishing.,3,12/1/2017
